name,type,data,ttl,priority,weight,port,description
@,A,203.0.113.1,3600,,,,"Root domain A record"
www,A,203.0.113.1,3600,,,,"WWW subdomain"
api,CNAME,api-gateway.cloudprovider.com,1800,,,,"API endpoint"
app,CNAME,app-server.cloudprovider.com,1800,,,,"Application server"
admin,CNAME,admin-panel.cloudprovider.com,1800,,,,"Admin panel"
docs,CNAME,docs-site.pages.dev,3600,,,,"Documentation"
blog,CNAME,blog-site.pages.dev,3600,,,,"Blog"
cdn,CNAME,cdn.cloudprovider.com,3600,,,,"CDN endpoint"
static,CNAME,static.cdn.cloudprovider.com,3600,,,,"Static assets"
assets,CNAME,assets.cdn.cloudprovider.com,3600,,,,"Asset files"
ftp,A,203.0.113.10,3600,,,,"FTP server"
mail,A,203.0.113.20,3600,,,,"Mail server"
smtp,CNAME,mail.example.com,3600,,,,"SMTP server"
imap,CNAME,mail.example.com,3600,,,,"IMAP server"
pop3,CNAME,mail.example.com,3600,,,,"POP3 server"
webmail,CNAME,mail.example.com,3600,,,,"Webmail interface"
@,MX,mail.example.com,3600,10,,,"Primary mail server"
@,MX,backup-mail.example.com,3600,20,,,"Backup mail server"
_service._tcp,SRV,service.example.com,3600,10,20,443,"Service discovery"
_sip._tcp,SRV,sip.example.com,3600,10,60,5060,"SIP service"
_xmpp-server._tcp,SRV,xmpp.example.com,3600,5,0,5269,"XMPP server"
@,TXT,"v=spf1 include:_spf.google.com ~all",3600,,,,"SPF record"
_dmarc,TXT,"v=DMARC1; p=quarantine; rua=mailto:dmarc@example.com",3600,,,,"DMARC policy"
google._domainkey,TXT,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA...",3600,,,,"DKIM public key"
@,TXT,"google-site-verification=abcdef123456789",3600,,,,"Google verification"
@,TXT,"facebook-domain-verification=xyz789",3600,,,,"Facebook verification"
@,CAA,"0 issue ""letsencrypt.org""",3600,,,,"Certificate authority"
@,CAA,"0 issuewild ""letsencrypt.org""",3600,,,,"Wildcard certificate authority"
@,CAA,"0 iodef ""mailto:security@example.com""",3600,,,,"Security contact"
ns1,A,203.0.113.30,3600,,,,"Primary nameserver"
ns2,A,203.0.113.31,3600,,,,"Secondary nameserver"
test,A,203.0.113.100,300,,,,"Test environment"
staging,A,203.0.113.101,300,,,,"Staging environment"
dev,A,203.0.113.102,300,,,,"Development environment"
beta,CNAME,staging.example.com,300,,,,"Beta testing"
demo,CNAME,demo-app.cloudprovider.com,300,,,,"Demo environment"
sandbox,CNAME,sandbox-app.cloudprovider.com,300,,,,"Sandbox environment"
